"displ_1999","displ_2000","displ_2001","displ_2002","displ_2003","displ_2004","displ_2005","displ_2006","displ_2007","displ_2008","displ_2009","displ_2010","displ_2011","displ_2012","displ_2013","displ_2014","admin2Pcod","displ_mean"
0,0,0,0,0,0,0,NA,0,0,NA,0,3,0,0,0,"CO15380",0.214285714285714
0,0,0,0,0,3,0,NA,0,2,NA,1,0,0,0,0,"CO15401",0.428571428571429
15,570,330,0,0,3,0,NA,0,1,NA,17,0,0,0,0,"CO15403",66.8571428571429
0,0,27,0,0,0,0,24,2,6,16,0,11,0,0,0,"CO15407",5.375
0,0,14,13,6,0,23,NA,1,NA,2,1,11,4,0,0,"CO15425",5.35714285714286
0,0,0,0,0,0,0,NA,11,NA,NA,44,1,19,6,2,"CO15442",6.38461538461539
0,0,20,15,6,12,47,27,36,24,26,19,0,17,2,0,"CO15455",15.6875
0,0,15,0,0,71,18,NA,0,2,NA,16,0,11,5,0,"CO15464",9.85714285714286
0,0,0,0,0,0,0,NA,9,0,NA,0,0,0,0,0,"CO15466",0.642857142857143
0,0,28,54,8,30,18,6,3,57,22,16,8,0,0,0,"CO15469",15.625
0,0,0,0,6,8,0,NA,0,0,NA,0,0,0,0,0,"CO15476",1
0,0,10,15,8,35,15,42,25,6,NA,22,7,27,13,7,"CO15480",15.4666666666667
0,0,0,0,5,30,27,NA,37,12,13,0,20,0,0,0,"CO15491",9.6
0,0,0,0,0,0,9,NA,10,0,NA,4,0,0,0,0,"CO15494",1.64285714285714
0,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,"CO15500",0
0,78,16,108,0,23,38,77,0,40,12,53,4,13,74,16,"CO15507",34.5
0,0,0,0,3,3,0,NA,0,0,NA,0,0,0,0,0,"CO15511",0.428571428571429
0,0,18,22,8,0,56,NA,5,NA,NA,4,2,11,0,0,"CO15514",9.69230769230769
0,0,84,36,26,76,73,50,33,38,53,1,18,3,0,0,"CO15516",30.6875
25,0,367,16,110,30,0,NA,4,0,NA,14,0,32,14,6,"CO15518",44.1428571428571
22,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,"CO15522",1.57142857142857
0,0,27,0,0,0,12,13,5,6,NA,25,3,0,11,6,"CO15531",7.2
34,0,0,0,0,48,0,NA,0,12,8,6,0,11,10,9,"CO15533",9.2
0,0,0,0,17,0,0,NA,0,0,NA,0,0,0,0,0,"CO15537",1.21428571428571
0,0,0,6,0,67,0,NA,0,6,3,1,1,1,12,0,"CO15542",6.46666666666667
33,0,0,0,0,0,0,NA,0,0,NA,4,0,1,7,8,"CO15550",3.78571428571429
69,0,36,184,99,112,84,144,62,138,95,177,82,112,177,81,"CO15572",103.25
0,0,24,0,0,22,0,NA,0,0,NA,9,0,7,9,0,"CO15580",5.07142857142857
0,0,16,25,30,14,0,NA,0,0,NA,1,0,4,0,0,"CO15599",6.42857142857143
0,0,0,0,1,0,0,NA,8,0,NA,0,0,0,0,0,"CO15600",0.642857142857143
0,52,0,0,0,0,0,NA,0,5,3,3,9,0,0,0,"CO15621",4.8
0,0,0,0,0,0,0,7,0,0,NA,10,0,3,0,0,"CO15632",1.33333333333333
0,0,16,0,0,0,0,NA,0,0,NA,0,0,0,4,0,"CO15638",1.42857142857143
0,0,0,15,0,11,17,22,15,20,16,8,30,3,5,0,"CO15646",10.125
0,0,0,0,6,0,40,NA,0,0,NA,8,0,0,1,0,"CO15660",3.92857142857143
0,0,0,0,0,0,0,NA,6,9,18,10,4,6,0,0,"CO15664",3.53333333333333
30,0,25,21,26,42,0,14,20,29,17,23,0,8,8,0,"CO15667",16.4375
0,0,0,11,0,0,42,NA,0,0,NA,5,0,0,1,0,"CO15673",4.21428571428571
0,0,0,6,0,0,21,NA,0,0,NA,0,0,4,0,0,"CO15676",2.21428571428571
0,0,35,2,0,0,0,NA,1,6,2,32,0,2,19,0,"CO15681",6.6
0,0,0,0,0,5,9,9,19,4,NA,12,0,3,0,0,"CO15686",4.06666666666667
0,0,13,32,0,5,0,NA,8,12,NA,4,0,4,2,0,"CO15690",5.71428571428571
